"","X","Rank","Player","Age","Tm","First","Pts.Won","Pts.Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","season","player_id","poss","mp","raptor_offense","raptor_defense","raptor_total","war_total","war_reg_season","war_playoffs","predator_offense","predator_defense","predator_total","pace_impact"
"186",188,"7","Dwight Howard",26,"ORL",0,13,1210,0.011,54,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0,0.491,7.7,0.179,2012,"howardw01",3882,2070,-0.298883,4.690059134,4.391176134,7.556445782,7.556445782,0,0.287981091,4.638162591,4.926143682,0.178161564
"187",189,"8","Rajon Rondo",25,"BOS",0,12,1210,0.01,53,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,4.9,0.121,2012,"rondora01",5227,2767,2.874384349,1.432791889,4.307176238,10.05799803,5.954518979,4.103479055,2.81978331,1.674701631,4.49448494,-0.544042742
"188",190,"9","Steve Nash",37,"PHO",0,7,1210,0.006,62,31.6,12.5,3,10.7,0.6,0.1,0.532,0.39,0.894,5.9,0.144,2012,"nashst01",3827,1961,5.021989062,-1.205816978,3.816172084,6.492730438,6.492730438,0,4.408024782,-1.889583593,2.518441189,-1.078766914
"189",191,"10","Dwyane Wade",30,"MIA",0,6,1210,0.005,49,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,7.7,0.227,2012,"wadedw01",4805,2532,4.299322523,2.442983368,6.742305891,12.34222149,8.295466567,4.046754924,4.408232022,2.397469292,6.805701314,-0.19827165
"190",192,"11","Derrick Rose",23,"CHI",0,5,1210,0.004,39,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,6,0.211,2012,"rosede01",2651,1412,5.043827737,-0.037372176,5.006455561,5.563450453,5.420996333,0.14245412,5.197645597,-0.10170084,5.095944757,-0.472799784
"191",193,"12T","Dirk Nowitzki",33,"DAL",0,4,1210,0.003,62,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.896,7.6,0.175,2012,"nowitdi01",4298,2233,2.44098183,0.348885419,2.789867248,6.305778016,5.887256008,0.418522008,2.401078675,0.284666638,2.685745313,-0.265286559
"192",194,"12T","Russell Westbrook",23,"OKC",0,4,1210,0.003,66,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,7.9,0.163,2012,"westbru01",6032,3098,4.427224611,0.114132545,4.541357157,11.61815952,8.508281841,3.10987768,5.022908637,0.524944713,5.54785335,-0.03944713
"193",195,"14","Tim Duncan",35,"SAS",0,3,1210,0.002,58,28.2,15.4,9,2.3,0.7,1.5,0.492,0,0.695,5.9,0.174,2012,"duncati01",4101,2097,0.458033572,4.411248989,4.869282561,8.145940835,5.95339,2.192550834,0.95557168,3.751778095,4.707349775,-0.824534091
"194",196,"15","Joe Johnson",30,"ATL",0,1,1210,0.001,60,35.5,18.8,3.7,3.9,0.8,0.2,0.454,0.388,0.849,6.4,0.145,2012,"johnsjo02",4493,2370,3.020896118,-1.025442592,1.995453527,5.717804426,5.304919002,0.412885423,2.9597538,-0.904474848,2.055278951,-0.427343079
"195",197,"1","LeBron James",28,"MIA",120,1207,1210,0.998,76,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,2013,"jamesle01",7265,3837,8.529732991,1.092302181,9.622035172,24.21956155,18.43211,5.787451547,8.668272788,1.078147967,9.746420755,-0.614577772
